time/s	                cycle number	        ox/red	Ewe/V	        I/mA	        Capacity/mA.h	Unnamed: 6
401886.6301048407	26.0	0	3.7592371	-90.00354	5.135831373728434	
401887.9495038576	26.0	0	3.7582254	-90.010551	5.168819099509768	
401889.377102792	26.0	0	3.7571564	-90.011833	5.204512051083882	
401890.8339016996	26.0	0	3.7561445	-90.006729	5.240935142995622	
401892.185100697	26.0	0	3.7551327	-90.000359	5.274718010620541	
401893.6712995917	26.0	0	3.754102	-90.009277	5.311876154755063	
401895.0548985535	26.0	0	3.7530901	-90.009918	5.346469074699402	
401896.397697553	26.0	0	3.7520592	-90.005455	5.380041890591939	
401897.7320965678	26.0	0	3.7510474	-90.000359	5.413404587211609	
401899.2340954468	26.0	0	3.7500358	-90.008003	5.450957663352543	
401900.5818944387	26.0	0	3.7490239	-90.009918	5.484655447370741	
401902.0348933616	26.0	0	3.7480121	-90.004181	5.520983474627601	
401903.4666922912	26.0	0	3.7470002	-90.010551	5.556781367196401	
401904.8314912729	26.0	0	3.7459886	-90.015656	5.590904204707252	
401906.3442901492	26.0	0	3.7449386	-90.005455	5.628727319988251	
401907.7810890785	26.0	0	3.7439268	-90.008003	5.664650245815277	
401909.2722879611	26.0	0	3.7429149	-90.001625	5.701933239772373	
401910.6366869546	26.0	0	3.7419033	-90.006096	5.736046016289605	
401912.1850857954	26.0	0	3.7408915	-90.004814	5.774759231193967	
401913.5850847475	26.0	0	3.7398605	-90.008003	5.809762151377784	
401915.0456836671	26.0	0	3.7388296	-90.010551	5.846280141021729	
401916.5090825818	26.0	0	3.737818	-90.007362	5.882868180049049	
401917.9242815189	26.0	0	3.7368062	-90.005455	5.918251227553474	
401919.4334803945	26.0	0	3.7357943	-90.009918	5.955984388452318	
401920.8768793229	26.0	0	3.7347825	-90.010551	5.99207238064109	
401922.2934782691	26.0	0	3.7337708	-90.010551	6.027490335520427	
401923.8208771348	26.0	0	3.732759	-90.00354	6.065678486384922	
401925.2546760626	26.0	0	3.7317281	-90.011185	6.101526402052138	
401926.7824749224	26.0	0	3.7307162	-90.009277	6.139724543928782	
401928.3074737815	26.0	0	3.7296662	-90.007362	6.177852608012305	
401929.8002726696	26.0	0	3.7286546	-90.006096	6.215175614604526	
401931.2670715787	26.0	0	3.7276237	-90.009918	6.25184866593043	
401932.7820704521	26.0	0	3.7266119	-90.005455	6.289726799153645	
401934.3158693099	26.0	0	3.7255809	-90.002907	6.328074958736843	
401935.8544681668	26.0	0	3.7245693	-90.008003	6.366543111807928	
401937.3458670524	26.0	0	3.7235575	-90.005455	6.403831078026665	
401938.8898659013	26.0	0	3.7225456	-90.014374	6.442434163536495	
401940.3320648223	26.0	0	3.721534	-90.004181	6.47849205162345	
401941.8866636716	26.0	0	3.7205031	-90.004814	6.517360245661841	
401943.3850625567	26.0	0	3.7194722	-90.008644	6.55482328592258	
401944.9194614105	26.0	0	3.7184222	-90.007362	6.593186370836469	
401946.5274602084	26.0	0	3.7174103	-90.014374	6.633389660783979	
401948.0036591124	26.0	0	3.7163987	-90.004181	6.670297676605648	
401949.5768579394	26.0	0	3.7153869	-90.004181	6.709630874370574	
401951.106656801	26.0	0	3.7143559	-90.00354	6.747879008021459	
401952.6848556206	26.0	0	3.7133441	-90.009918	6.787337145423888	
401954.1536545267	26.0	0	3.7123325	-90.000359	6.824059992354922	
401955.748053339	26.0	0	3.7113206	-90.007362	6.863923105032178	
401957.2690522037	26.0	0	3.7103088	-90.008003	6.901951154302385	
401958.7614510991	26.0	0	3.7092969	-90.001625	6.939264115862952	
401960.3254499324	26.0	0	3.7082853	-90.010551	6.978367204563988	
401961.889248766	26.0	0	3.7072735	-90.006729	7.017465203388638	
401963.4504476041	26.0	0	3.7062426	-90.010551	7.05649821419949	
401964.9694464702	26.0	0	3.7052116	-90.008644	7.094476150918748	
401966.5842452608	26.0	0	3.7042	-90.008644	7.134849322360144	
401968.2326440401	26.0	0	3.7031119	-90.008644	7.176062527759975	
401969.8740428149	26.0	0	3.702081	-90.006096	7.217100676068624	
401971.483641617	26.0	0	3.7010691	-90.009277	7.257343781191084	
